x,y,s,v
0.244898,0.489796,-0.0297677,-0.116622
0.265306,0,0,0.362186
0.265306,0.0204082,-7.54239e-05,0.35418
0.265306,0.0408163,-0.000298456,0.345989
0.265306,0.0612245,-0.000665985,0.337164
0.265306,0.0816327,-0.00117488,0.327392
0.265306,0.102041,-0.00182191,0.316456
0.265306,0.122449,-0.00260368,0.304201
0.265306,0.142857,-0.00351659,0.290506
0.265306,0.163265,-0.00455682,0.275273
0.265306,0.183673,-0.00572023,0.258416
0.265306,0.204082,-0.00700232,0.239852
0.265306,0.22449,-0.00839813,0.219504
0.265306,0.244898,-0.00990216,0.197303
0.265306,0.265306,-0.0115082,0.173191
0.265306,0.285714,-0.0132093,0.147127
0.265306,0.306122,-0.0149977,0.119095
0.265306,0.326531,-0.0168645,0.0891145
0.265306,0.346939,-0.0187998,0.0572438
0.265306,0.367347,-0.0207928,0.0235911
0.265306,0.387755,-0.0228314,-0.0116804
0.265306,0.408163,-0.0249027,-0.0483479
0.265306,0.428571,-0.0269925,-0.0861277
0.265306,0.44898,-0.0290863,-0.124676
0.265306,0.469388,-0.0311685,-0.163595
0.265306,0.489796,-0.0332235,-0.202446
0.285714,0,0,0.412182
0.285714,0.0204082,-8.58355e-05,0.397688
0.285714,0.0408163,-0.000337547,0.383598
0.285714,0.0612245,-0.00074999,0.369354
0.285714,0.0816327,-0.00131844,0.354544
0.285714,0.102041,-0.00203844,0.338864
0.285714,0.122449,-0.00290566,0.32208
0.285714,0.142857,-0.00391583,0.304004
0.285714,0.163265,-0.0050646,0.284475
0.285714,0.183673,-0.00634745,0.263349
0.285714,0.204082,-0.00775958,0.240488
0.285714,0.22449,-0.00929578,0.215766
0.285714,0.244898,-0.0109503,0.189063
0.285714,0.265306,-0.0127166,0.160275
0.285714,0.285714,-0.0145874,0.129317
0.285714,0.306122,-0.0165545,0.0961359
0.285714,0.326531,-0.0186085,0.0607161
0.285714,0.346939,-0.0207387,0.0230931
0.285714,0.367347,-0.0229333,-0.0166383
0.285714,0.387755,-0.0251792,-0.0583153
0.285714,0.408163,-0.027462,-0.101701
0.285714,0.428571,-0.0297662,-0.146481
0.285714,0.44898,-0.0320752,-0.192266
0.285714,0.469388,-0.0343718,-0.238595
0.285714,0.489796,-0.0366379,-0.284951
0.306122,0,0,0.461016
0.306122,0.0204082,-9.60051e-05,0.440053
0.306122,0.0408163,-0.000375674,0.420077
0.306122,0.0612245,-0.000831819,0.400437
0.306122,0.0816327,-0.00145812,0.380636
0.306122,0.102041,-0.00224887,0.360291
0.306122,0.122449,-0.00319885,0.339096
0.306122,0.142857,-0.00430309,0.316798
0.306122,0.163265,-0.00555679,0.293171
0.306122,0.183673,-0.00695508,0.268011
0.306122,0.204082,-0.00849294,0.24112
0.306122,0.22449,-0.010165,0.212311
0.306122,0.244898,-0.0119653,0.181406
0.306122,0.265306,-0.0138872,0.148244
0.306122,0.285714,-0.0159232,0.112685
0.306122,0.306122,-0.0180646,0.0746254
0.306122,0.326531,-0.0203015,0.0340086
0.306122,0.346939,-0.0226227,-0.00916263
0.306122,0.367347,-0.0250155,-0.0548127
0.306122,0.387755,-0.0274657,-0.102783
0.306122,0.408163,-0.0299576,-0.152821
0.306122,0.428571,-0.032474,-0.20458
0.306122,0.44898,-0.0349966,-0.257617
0.306122,0.469388,-0.037506,-0.311396
0.306122,0.489796,-0.0399821,-0.365313
0.326531,0,0,0.508
