x,y,s,v
0.1,0.125,-0.000113992,-0.00450779
0.1,0.13125,-0.000121044,-0.00615241
0.1,0.1375,-0.000127768,-0.00781488
0.1,0.14375,-0.000134108,-0.0094961
0.1,0.15,-0.000140009,-0.0111969
0.1,0.15625,-0.000145419,-0.0129183
0.1,0.1625,-0.000150285,-0.014661
0.1,0.16875,-0.000154558,-0.0164256
0.1,0.175,-0.000158191,-0.0182129
0.1,0.18125,-0.000161138,-0.020023
0.1,0.1875,-0.000163358,-0.0218563
0.1,0.19375,-0.00016481,-0.0237126
0.1,0.2,-0.000165457,-0.0255198
0.108333,0,0,0.028227
0.108333,0.00625,-5.51309e-07,0.0266366
0.108333,0.0125,-2.14249e-06,0.0250248
0.108333,0.01875,-4.70874e-06,0.0233891
0.108333,0.025,-8.18324e-06,0.0217283
0.108333,0.03125,-1.24973e-05,0.0200422
0.108333,0.0375,-1.75805e-05,0.0183315
0.108333,0.04375,-2.3361e-05,0.0165972
0.108333,0.05,-2.97658e-05,0.0148407
0.108333,0.05625,-3.67213e-05,0.0130633
0.108333,0.0625,-4.41529e-05,0.0112665
0.108333,0.06875,-5.19861e-05,0.00945168
0.108333,0.075,-6.01462e-05,0.00761998
0.108333,0.08125,-6.85587e-05,0.00577237
0.108333,0.0875,-7.71497e-05,0.0039096
0.108333,0.09375,-8.58456e-05,0.00203224
0.108333,0.1,-9.45738e-05,0.000140608
0.108333,0.10625,-0.000103262,-0.00176512
0.108333,0.1125,-0.000111841,-0.00368497
0.108333,0.11875,-0.000120239,-0.00561906
0.108333,0.125,-0.00012839,-0.00756764
0.108333,0.13125,-0.000136225,-0.00953103
0.108333,0.1375,-0.000143679,-0.0115096
0.108333,0.14375,-0.000150689,-0.0135036
0.108333,0.15,-0.000157192,-0.0155136
0.108333,0.15625,-0.000163127,-0.0175396
0.108333,0.1625,-0.000168435,-0.019582
0.108333,0.16875,-0.000173061,-0.0216407
0.108333,0.175,-0.00017695,-0.0237157
0.108333,0.18125,-0.00018005,-0.0258067
0.108333,0.1875,-0.000182311,-0.027913
0.108333,0.19375,-0.000183688,-0.0300339
0.108333,0.2,-0.000184137,-0.0320898
0.116667,0,0,0.0321847
0.116667,0.00625,-6.28607e-07,0.030164
0.116667,0.0125,-2.43523e-06,0.0281398
0.116667,0.01875,-5.34e-06,0.0261075
0.116667,0.025,-9.26222e-06,0.0240637
0.116667,0.03125,-1.41204e-05,0.0220062
0.116667,0.0375,-1.98321e-05,0.0199337
0.116667,0.04375,-2.63144e-05,0.0178455
0.116667,0.05,-3.34839e-05,0.0157415
0.116667,0.05625,-4.12566e-05,0.0136217
0.116667,0.0625,-4.95486e-05,0.0114864
0.116667,0.06875,-5.8276e-05,0.00933615
0.116667,0.075,-6.73551e-05,0.0071713
0.116667,0.08125,-7.67027e-05,0.00499231
0.116667,0.0875,-8.62361e-05,0.00279955
0.116667,0.09375,-9.58734e-05,0.000593324
0.116667,0.1,-0.000105534,-0.00162615
0.116667,0.10625,-0.000115137,-0.00385873
0.116667,0.1125,-0.000124604,-0.00610433
0.116667,0.11875,-0.000133858,-0.00836291
0.116667,0.125,-0.000142822,-0.0106345
0.116667,0.13125,-0.000151421,-0.012919
0.116667,0.1375,-0.000159582,-0.0152166
0.116667,0.14375,-0.000167234,-0.017527
0.116667,0.15,-0.000174306,-0.0198503
0.116667,0.15625,-0.00018073,-0.0221862
0.116667,0.1625,-0.00018644,-0.0245343
0.116667,0.16875,-0.000191372,-0.0268941
0.116667,0.175,-0.000195465,-0.029265
0.116667,0.18125,-0.000198659,-0.031646
0.116667,0.1875,-0.000200898,-0.0340359
0.116667,0.19375,-0.00020213,-0.0364332
0.116667,0.2,-0.000202303,-0.0387506
0.125,0,0,0.0361661
0.125,0.00625,-7.06369e-07,0.033717
0.125,0.0125,-2.72987e-06,0.0312809
0.125,0.01875,-5.97548e-06,0.028851
0.125,0.025,-1.03484e-05,0.0264223
0.125,0.03125,-1.57541e-05,0.0239908
0.125,0.0375,-2.2098e-05,0.0215535
0.125,0.04375,-2.92857e-05,0.0191083
0.125,0.05,-3.72226e-05,0.0166536
0.125,0.05625,-4.58147e-05,0.0141883
0.125,0.0625,-5.49679e-05,0.0117117
0.125,0.06875,-6.45889e-05,0.00922333
0.125,0.075,-7.45847e-05,0.00672296
0.125,0.08125,-8.48629e-05,0.00421042
0.125,0.0875,-9.53321e-05,0.00168565
0.125,0.09375,-0.000105902,-0.000851362
0.125,0.1,-0.000116482,-0.00340059
0.125,0.10625,-0.000126985,-0.00596201
0.125,0.1125,-0.000137324,-0.00853554
0.125,0.11875,-0.000147411,-0.0111211
0.125,0.125,-0.000157164,-0.0137185
0.125,0.13125,-0.000166499,-0.0163276
0.125,0.1375,-0.000175335,-0.0189482
0.125,0.14375,-0.000183592,-0.0215798
0.125,0.15,-0.000191193,-0.0242221
0.125,0.15625,-0.000198061,-0.0268743
0.125,0.1625,-0.000204123,-0.0295357
0.125,0.16875,-0.000209308,-0.0322054
0.125,0.175,-0.000213545,-0.034882
0.125,0.18125,-0.000216768,-0.0375642
0.125,0.1875,-0.000218914,-0.0402502
0.125,0.19375,-0.000219922,-0.0429379
0.125,0.2,-0.000219735,-0.0455319
0.133333,0,0,0.0401416
0.133333,0.00625,-7.84016e-07,0.0372682
0.133333,0.0125,-3.02418e-06,0.0344226
0.133333,0.01875,-6.61031e-06,0.0315966
0.133333,0.025,-1.14335e-05,0.0287834
0.133333,0.03125,-1.7386e-05,0.0259776
0.133333,0.0375,-2.43608e-05,0.0231747
0.133333,0.04375,-3.22517e-05,0.0203713
0.133333,0.05,-4.09532e-05,0.0175644
0.133333,0.05625,-5.03603e-05,0.0147521
0.133333,0.0625,-6.03691e-05,0.0119325
0.133333,0.06875,-7.08762e-05,0.00910443
0.133333,0.075,-8.1779e-05,0.00626689
0.133333,0.08125,-9.2976e-05,0.00341915
0.133333,0.0875,-0.000104367,0.000560682
0.133333,0.09375,-0.000115852,-0.0023089
0.133333,0.1,-0.000127332,-0.00518985
0.133333,0.10625,-0.000138712,-0.00808232
0.133333,0.1125,-0.000149895,-0.0109863
0.133333,0.11875,-0.000160788,-0.0139019
0.133333,0.125,-0.000171296,-0.0168287
0.133333,0.13125,-0.000181331,-0.0197666
0.133333,0.1375,-0.000190801,-0.0227152
0.133333,0.14375,-0.000199619,-0.0256738
0.133333,0.15,-0.0002077,-0.0286418
0.133333,0.15625,-0.00021496,-0.0316183
0.133333,0.1625,-0.000221316,-0.034602
0.133333,0.16875,-0.00022669,-0.0375917
0.133333,0.175,-0.000231004,-0.0405857
0.133333,0.18125,-0.000234184,-0.0435822
0.133333,0.1875,-0.000236158,-0.0465788
0.133333,0.19375,-0.000236858,-0.049573
0.133333,0.2,-0.000236218,-0.0524609
0.141667,0,0,0.0440843
0.141667,0.00625,-8.61021e-07,0.0407923
0.141667,0.0125,-3.31612e-06,0.0375417
0.141667,0.01875,-7.24007e-06,0.0343229
0.141667,0.025,-1.25099e-05,0.0311277
0.141667,0.03125,-1.90045e-05,0.0279493
0.141667,0.0375,-2.66044e-05,0.0247818
0.141667,0.04375,-3.51914e-05,0.0216206
0.141667,0.05,-4.46489e-05,0.0184618
0.141667,0.05625,-5.48609e-05,0.0153022
0.141667,0.0625,-6.57131e-05,0.0121392
0.141667,0.06875,-7.70921e-05,0.00897081
0.141667,0.075,-8.88855e-05,0.00579528
0.141667,0.08125,-0.000100982,0.00261132
0.141667,0.0875,-0.000113273,-0.000582092
0.141667,0.09375,-0.000125648,-0.00378576
0.141667,0.1,-0.000138002,-0.00700028
0.141667,0.10625,-0.000150228,-0.0102261
0.141667,0.1125,-0.000162221,-0.0134633
0.141667,0.11875,-0.00017388,-0.0167122
0.141667,0.125,-0.000185104,-0.0199724
0.141667,0.13125,-0.000195792,-0.0232439
0.141667,0.1375,-0.000205847,-0.0265262
0.141667,0.14375,-0.000215174,-0.0298185
0.141667,0.15,-0.000223678,-0.0331201
